=== MATRIKS TF-IDF (KATA vs DOKUMEN) ===
Kolom: Dokumen (Pref = Preferensi User, P = Paket Wisata)
Baris: Kata (Term) yang diekstrak setelah preprocessing
Nilai: Bobot TF-IDF
=====================================================================================

                                Pref(Anda)  P1_Kawah  P3_Tabuhan  P7_Baluran  P9_Kawah  P12_Djawatan
jalan lupa                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
java                                0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
java pantai                         0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
jeep                                0.0000    0.0000      0.0000      0.1001    0.0397        0.0000
jeep air                            0.0000    0.0000      0.0000      0.0000    0.0492        0.0000
jeep trooper                        0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
kagum                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
kagum pesona                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
kapal                               0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
kapal wisata                        0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
kawah                               0.0000    0.3162      0.0000      0.0000    0.0000        0.0000
kawah belerang                      0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
kawah ijen                          0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
kenal                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
kenal hampar                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
kombinasi                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
kombinasi wisata                    0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
konsumsi                            0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
konsumsi masker                     0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
lanjut                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
lanjut kagum                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
lanskap                             0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
lanskap eksotis                     0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
laut                                0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
laut pulau                          0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
lengkap                             0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
lengkap unjung                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
luas                                0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
luas tani                           0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
lupa                                0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
lupa ajak                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0745
magis                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
magis djawatan                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
maker                               0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
maker gass                          0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
mana                                0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
mana gabung                         0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
masker                              0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
masker snorkel                      0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
matahari                            0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
matahari muncul                     0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
menjangan                           0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
menjangan eksotisme                 0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
merah                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
merah kenal                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
mineral                             0.0000    0.0000      0.0000      0.0831    0.0329        0.0295
mineral ajak                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
mineral izin                        0.0000    0.0000      0.0000      0.1001    0.0397        0.0000
mobil                               0.2328    0.0914      0.0000      0.0000    0.0000        0.0355
mobil maker                         0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
mobil pakai                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
momen                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
momen alam                          0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
muncul                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
muncul bukit                        0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
nature                              0.1932    0.0000      0.0000      0.0831    0.0329        0.0295
nature budgetbracket300k            0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
nature budgetbracket450k            0.0000    0.0000      0.0000      0.0000    0.0397        0.0355
negeri                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
negeri fantasi                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
nyaman                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
nyaman hampar                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
ombak                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
ombak tawan                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
padang                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
padang rumput                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
pagi                                0.6055    0.0000      0.0000      0.0000    0.1032        0.0000
pagi tengah                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
pakai                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pakai avanza                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
pakai hiace                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
pakai innova                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
paket                               0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
paket sharing                       0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
pandang                             0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
pandang alam                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pandang udara                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
panorama                            0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
panorama sunset                     0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pantai                              0.0000    0.0000      0.0000      0.2100    0.0000        0.0991
pantai bama                         0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
pantai pulau                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pantai spot                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pasir                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pasir ombak                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pelampung                           0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
pelampung dokumentasi               0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
perahu                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
perahu pulau                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
perlahan                            0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
perlahan sinar                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
pesona                              0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
pesona green                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pesona sambut                       0.0000    0.0000      0.0000      0.0000    0.0832        0.0000
pohon                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pohon trembesi                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pukau                               0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
pukau hadir                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
pukau udara                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pulau                               0.0000    0.0000      0.1795      0.0000    0.0000        0.0847
pulau bedil                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
pulau guide                         0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
pulau menjangan                     0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
pulau merah                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
pulau tabuhan                       0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
punjak                              0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
punjak kawah                        0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
raksasa                             0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
raksasa cipta                       0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
renang                              0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
renang snorkeling                   0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
rindang                             0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
rindang deret                       0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
rumput                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
rumput bentang                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sambut                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sambut pagi                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
savana                              0.0000    0.0000      0.0000      0.2100    0.0832        0.0000
savana afrika                       0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
savana hijau                        0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
segar                               0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
segar jalan                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
segar tambah                        0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sejuk                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sejuk segar                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
semburat                            0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
semburat cahaya                     0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
semburat warna                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
sempat                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sempat sempurna                     0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sempurna                            0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sempurna abadi                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
serta                               0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
serta teman                         0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
sharing                             0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
sharing mana                        0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
sinar                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sinar matahari                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
snorkel                             0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
snorkel jaket                       0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
snorkeling                          0.0000    0.0000      0.1802      0.0000    0.0000        0.0000
snorkeling indah                    0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
snorkeling izin                     0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
spektakuler                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
spektakuler hadir                   0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
spot                                0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
spot foto                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
suasana                             0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
suasana bak                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
suasana tenang                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sudut                               0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sudut pandang                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sunrise                             0.4885    0.1918      0.0000      0.0000    0.0832        0.0000
sunrise cantik                      0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
sunrise punjak                      0.0000    0.2377      0.0000      0.0000    0.0000        0.0000
sunset                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
sunset spektakuler                  0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
tabuhan                             0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
tabuhan banyuwangi                  0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
tambah                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tambah nyaman                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tani                                0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tani semburat                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tawan                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
tawan panorama                      0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
teman                               0.0000    0.0000      0.1585      0.0000    0.0000        0.0000
teman ajak                          0.0000    0.0000      0.1279      0.0000    0.0000        0.0000
tenang                              0.0000    0.0000      0.0000      0.0000    0.1372        0.0000
tenang momen                        0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tenang tenang                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tengah                              0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tengah savana                       0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
tiket                               0.1375    0.0540      0.0360      0.0591    0.0234        0.0210
tiket air                           0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
tiket mobil                         0.0000    0.1133      0.0000      0.0000    0.0000        0.0000
tiket pulau                         0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
tiket wisata                        0.0000    0.0000      0.0000      0.1001    0.0397        0.0000
transportasi                        0.0000    0.0000      0.0000      0.1001    0.0397        0.0000
transportasi jeep                   0.0000    0.0000      0.0000      0.1001    0.0397        0.0000
trembesi                            0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
trembesi raksasa                    0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
trooper                             0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
trooper air                         0.0000    0.0000      0.0000      0.1240    0.0000        0.0000
udara                               0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
udara gunung                        0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
udara segar                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
underwater                          0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
underwater ajak                     0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
unjung                              0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
unjung pantai                       0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
van                                 0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
van java                            0.0000    0.0000      0.0000      0.2603    0.0000        0.0000
warna                               0.0000    0.0000      0.0000      0.0000    0.0832        0.0745
warna emas                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
warna pukau                         0.0000    0.0000      0.0000      0.0000    0.1032        0.0000
wedi                                0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
wedi ireng                          0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
wisata                              0.0000    0.0000      0.0426      0.0699    0.0277        0.0692
wisata alam                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
wisata guide                        0.0000    0.0000      0.0000      0.1001    0.0397        0.0000
wisata indah                        0.0000    0.0000      0.0000      0.0000    0.0000        0.0924
wisata izin                         0.0000    0.0000      0.0755      0.0000    0.0000        0.0000
xenia                               0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
xenia pakai                         0.0000    0.0000      0.0000      0.0000    0.0000        0.0440
